old_uri,new_uri
http://example.com/mdhn/tgm013109,http://example.com/mdhn/tgm013109_Police_cars
http://example.com/mdhn/tgm010873,http://example.com/mdhn/tgm010873_Toll_bridges
http://example.com/mdhn/tgm008732,http://example.com/mdhn/tgm008732_Reflections
http://example.com/mdhn/tgm002048,http://example.com/mdhn/tgm002048_Church_dedications
http://example.com/mdhn/tgm000487,http://example.com/mdhn/tgm000487_Armorers
http://example.com/mdhn/tgm006717,http://example.com/mdhn/tgm006717_Monarchy
http://example.com/mdhn/tgm004496,http://example.com/mdhn/tgm004496_Gelatin_silver_film_transparencies
http://example.com/mdhn/tgm006601,http://example.com/mdhn/tgm006601_Millionaires
http://example.com/mdhn/tgm010964,http://example.com/mdhn/tgm010964_Trademarks
http://example.com/mdhn/tgm000765,http://example.com/mdhn/tgm000765_Bandstands
http://example.com/mdhn/tgm004264,http://example.com/mdhn/tgm004264_Foxholes
http://example.com/mdhn/tgm010400,http://example.com/mdhn/tgm010400_Supernatural_practices
http://example.com/mdhn/tgm006241,http://example.com/mdhn/tgm006241_Manners__customs
http://example.com/mdhn/tgm004696,http://example.com/mdhn/tgm004696_Grapes
http://example.com/mdhn/tgm000608,http://example.com/mdhn/tgm000608_Atoms
http://example.com/mdhn/tgm004306,http://example.com/mdhn/tgm004306_Freeze-dried_food
http://example.com/mdhn/tgm012207,http://example.com/mdhn/tgm012207_Power_outlets
http://example.com/mdhn/tgm008873,http://example.com/mdhn/tgm008873_Revenge
http://example.com/mdhn/tgm004224,http://example.com/mdhn/tgm004224_Forest_reserves
http://example.com/mdhn/tgm006761,http://example.com/mdhn/tgm006761_Moral__ethical_aspects
http://example.com/mdhn/tgm000007,http://example.com/mdhn/tgm000007_A_trois_crayons_drawings
http://example.com/mdhn/tgm006485,http://example.com/mdhn/tgm006485_Meteorology
http://example.com/mdhn/tgm000201,http://example.com/mdhn/tgm000201_Airplane_equipment
http://example.com/mdhn/tgm009597,http://example.com/mdhn/tgm009597_Side_wheelers
http://example.com/mdhn/tgm010874,http://example.com/mdhn/tgm010874_Toll_roads
http://example.com/mdhn/tgm007063,http://example.com/mdhn/tgm007063_Newspaper_industry
http://example.com/mdhn/tgm011247,http://example.com/mdhn/tgm011247_Urban_renewal
http://example.com/mdhn/tgm013059,http://example.com/mdhn/tgm013059_Illegal_immigration
http://example.com/mdhn/tgm003199,http://example.com/mdhn/tgm003199_Dog_walking
http://example.com/mdhn/tgm000094,http://example.com/mdhn/tgm000094_Adult_education
http://example.com/mdhn/tgm002210,http://example.com/mdhn/tgm002210_Coaches_Athletics
http://example.com/mdhn/tgm001639,http://example.com/mdhn/tgm001639_Cantilever_construction
http://example.com/mdhn/tgm009230,http://example.com/mdhn/tgm009230_School_discipline
http://example.com/mdhn/tgm001815,http://example.com/mdhn/tgm001815_Ceibas
http://example.com/mdhn/tgm002914,http://example.com/mdhn/tgm002914_Debates
http://example.com/mdhn/tgm007253,http://example.com/mdhn/tgm007253_Operating_rooms
http://example.com/mdhn/tgm004059,http://example.com/mdhn/tgm004059_Fisheye_photographs
http://example.com/mdhn/tgm003464,http://example.com/mdhn/tgm003464_Eden
http://example.com/mdhn/tgm010357,http://example.com/mdhn/tgm010357_Suites
http://example.com/mdhn/tgm006348,http://example.com/mdhn/tgm006348_Maternity_hospitals
